"Results for Round #3 - 5/16/2024 | Quarry Golf Club - Front"
" "
"Hole","1","2","3","4","5","6","7","8","9","Out","Hdcp","Net","Indiv Pts","Team Pts","Points"
"2   FATZINGER, BRENT   Match Play","6       0","4       1","4       2","3       2","5       1","3       1","4       2","4       2","4       0","37       11","6","31     2","13","0","13"
"Match Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1   McLaughlin, Pete  (Sub)   Match Play","7       0","5       2","4       2","5       2","5       2","4       2","6       2","4       2","3       2","43       16","7","36     2","18","0","18"
"2   ECKINGER, NORM   Match Play","7       2","7       0","6       0","7       0","7       0","6       0","8       0","6       0","5       0","59       2","15","44     0","2","0","2"
"Tee Time: 3  - 4:45 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Match Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5   KNOX, STEVE   Match Play","6       0","5       0","4       2","4       2","4       2","2       2","5       0","4       2","3       1","37       11","5","32     2","13","0","13"
"11   BOOTH, DAVE   Match Play","5       2","4       2","6       0","5       0","4       0","3       0","4       2","5       0","3       1","39       7","3","36     0","7","0","7"
"Match Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5   PAVLICK, DAVE   Match Play","6       2","4       2","4       0","4       2","5       2","3       1","5       2","7       0","3       2","41       13","6","35     2","15","0","15"
"11   LARSON, GARY   Match Play","7       0","6       0","4       2","5       0","7       0","3       1","8       0","5       2","4       0","49       5","9","40     0","5","0","5"
"Tee Time: 4  - 4:45 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Match Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4   SCHOEPPNER, CHRIS   Match Play","7       0","5       2","5       1","4       1","5       2","5       0","4       1","4       1","4       0","43       8","5","38     0","8","0","8"
"16   MINOR, CURT   Match Play","5       2","6       0","5       1","4       1","5       0","3       2","4       1","4       1","3       2","39       10","4","35     2","12","0","12"
"Match Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4   SCHOEPPNER, TERRY   Match Play","5       2","6       0","6       1","5       0","5       2","5       0","4       2","6       1","3       2","45       10","8","37     1","11","0","11"
"16   BRACKEN, MARK  (Sub)   Match Play","7       0","4       2","6       1","4       2","5       0","2       2","6       0","5       1","4       0","43       8","6","37     1","9","0","9"
"Tee Time: 5  - 4:45 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Match Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3   KOSTIUK, CHRIS   Match Play","5       1","5       0","4       0","4       1","7       0","4       1","7       1","6       0","4       2","46       6","4","42     0","6","0","6"
"10   MALLETTE, LEE   Match Play","5       1","5       2","4       2","4       1","6       2","4       1","7       1","5       2","5       0","45       12","8","37     2","14","0","14"
"Match Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3   HOWALD, JERRY   Match Play","6       2","4       1","5       2","3       2","5       0","4       1","5       2","6       0","4       1","42       11","5","37     2","13","0","13"
"10   RUFENER, BOBBY   Match Play","8       0","5       1","7       0","5       0","5       2","4       1","6       0","5       2","4       1","49       7","9","40     0","7","0","7"
"Tee Time: 6  - 4:45 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Match Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9   LUTTON, DENNY   Match Play","6       2","5       1","5       2","4       1","5       2","6       0","8       0","8       0","4       2","51       10","11","40     0","10","0","10"
"15   IADANZA, NINO   Match Play","7       0","5       1","6       0","4       1","6       0","5       2","5       2","6       2","6       0","50       8","11","39     2","10","0","10"
"Match Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9   DEHEER, RICK   Match Play","8       0","7       0","5       2","5       2","7       0","3       2","8       0","8       0","4       1","55       7","12","43     0","7","0","7"
"15   DEWALT, DAVE   Match Play","6       2","5       2","6       0","7       0","5       2","5       0","6       2","6       2","4       1","50       11","13","37     2","13","0","13"
"Tee Time: 7  - 4:45 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Match Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7   NICHOLS, CHRIS   Match Play","5       2","5       1","5       1","5       0","5       1","3       1","4       2","4       1","2       2","38       11","8","30     2","13","0","13"
"8   MYERS, WES  (Sub)   Match Play","6       0","4       1","4       1","4       2","4       1","3       1","6       0","3       1","3       0","37       7","2","35     0","7","0","7"
"Match Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7   SMITH, BILL   Match Play","5       2","6       1","6       1","4       1","6       1","3       1","5       2","6       1","4       0","45       10","9","36     2","12","0","12"
"8   Myers, Walt  (Sub)   Match Play","6       0","6       1","6       1","4       1","7       1","3       1","6       0","6       1","3       2","47       8","10","37     0","8","0","8"
"Tee Time: 8  - 4:45 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Match Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6   CUTRUFELLO, PAUL   Match Play","7       0","4       1","6       0","5       0","6       0","5       2","5       0","5       2","3       2","46       7","2","44     0","7","0","7"
"12   MASON, CROSS   Match Play","6       2","5       1","6       2","3       2","4       2","6       0","4       2","7       0","4       0","45       11","6","39     2","13","0","13"
"Match Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6   OWEN, STEVE   Match Play","8       0","4       1","6       0","5       1","7       0","6       1","6       1","7       0","4       1","53       5","7","46     0","5","0","5"
"12   KNOX, SAM   Match Play","8       2","5       1","6       2","5       1","7       2","6       1","7       1","7       2","4       1","55       13","13","42     2","15","0","15"
